OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100763,Sample-Routine,Water,Surface Water,2001-06-05,09:50:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,project account written unclear,,Rising stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45684992,,,Phosphorus,Total,0.53,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00665,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",,USGS OF 92-146,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100763,Sample-Routine,Water,Surface Water,2001-06-05,09:50:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,project account written unclear,,Rising stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45684993,,,Phosphorus,Dissolved,0.140,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100763,Sample-Routine,Water,Surface Water,2001-06-05,09:50:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,project account written unclear,,Rising stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45685045,,,Nitrogen,Suspended,1.12,mg/l,,Accepted,,Actual,,,,,,,,,,,49570,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100632,Sample-Routine,Water,Surface Water,2001-04-17,10:15:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,8-13-01 corrected time per mljamet.,,Rising stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45676671,,,Nitrogen,Suspended,0.769,mg/l,,Accepted,,Actual,,,,,,,,,,,49570,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100632,Sample-Routine,Water,Surface Water,2001-04-17,10:15:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,8-13-01 corrected time per mljamet.,,Rising stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45676618,,,Phosphorus,Total,0.40,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00665,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",,USGS OF 92-146,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100632,Sample-Routine,Water,Surface Water,2001-04-17,10:15:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,8-13-01 corrected time per mljamet.,,Rising stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45676619,,,Phosphorus,Dissolved,0.124,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100284,Sample-Routine,Water,Surface Water,2001-01-08,16:15:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45656910,,,Phosphorus,Total,0.191,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00665,,,,,,,,,CL021,USGS,"P, wu, WCA, persulfate CF color",,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100284,Sample-Routine,Water,Surface Water,2001-01-08,16:15:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45656911,,,Phosphorus,Dissolved,0.122,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100284,Sample-Routine,Water,Surface Water,2001-01-08,16:15:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45656963,,,Nitrogen,Suspended,0.172,mg/l,,Accepted,,Actual,,,,,,,,,,,49570,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100713,Sample-Routine,Water,Surface Water,2001-05-15,09:55:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,Peak stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45681409,,,Phosphorus,Total,0.52,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00665,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",,USGS OF 92-146,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100713,Sample-Routine,Water,Surface Water,2001-05-15,09:55:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,Peak stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45681410,,,Phosphorus,Dissolved,0.113,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100713,Sample-Routine,Water,Surface Water,2001-05-15,09:55:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,Peak stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45681443,,,Nitrogen,Suspended,0.898,mg/l,,Accepted,,Actual,,,,,,,,,,,49570,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100619,Sample-Routine,Water,Surface Water,2001-04-09,14:15:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,"smpl temp 8 C when received at NWQL,",,Falling stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45675233,,,Phosphorus,Total,0.55,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00665,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",,USGS OF 92-146,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100619,Sample-Routine,Water,Surface Water,2001-04-09,14:15:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,"smpl temp 8 C when received at NWQL,",,Falling stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45675234,,,Phosphorus,Dissolved,0.134,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100619,Sample-Routine,Water,Surface Water,2001-04-09,14:15:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,"smpl temp 8 C when received at NWQL,",,Falling stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45675286,,,Nitrogen,Suspended,0.728,mg/l,,Accepted,,Actual,,,,,,,,,,,49570,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100523,Quality Control Sample-Field Replicate,Water,Surface Water,2001-03-05,15:20:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45669769,,,Phosphorus,Total,0.78,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00665,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",,USGS OF 92-146,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100523,Quality Control Sample-Field Replicate,Water,Surface Water,2001-03-05,15:20:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45669770,,,Phosphorus,Dissolved,0.103,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100523,Quality Control Sample-Field Replicate,Water,Surface Water,2001-03-05,15:20:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45669839,,,Phosphorus,Suspended,0.090,%,,Accepted,,Actual,Dry,,,,,,,,,,30292,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100523,Quality Control Sample-Field Replicate,Water,Surface Water,2001-03-05,15:20:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45669862,,,Nitrogen,Suspended,0.897,mg/l,,Accepted,,Actual,,,,,,,,,,,49570,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100682,Sample-Routine,Water,Surface Water,2001-05-02,13:30:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45679381,,,Phosphorus,Total,0.29,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00665,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",,USGS OF 92-146,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100682,Sample-Routine,Water,Surface Water,2001-05-02,13:30:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45679382,,,Phosphorus,Dissolved,0.091,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100682,Sample-Routine,Water,Surface Water,2001-05-02,13:30:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45679451,,,Phosphorus,Suspended,0.110,%,,Accepted,,Actual,Dry,,,,,,,,,,30292,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100682,Sample-Routine,Water,Surface Water,2001-05-02,13:30:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45679474,,,Nitrogen,Suspended,0.674,mg/l,,Accepted,,Actual,,,,,,,,,,,49570,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00101205,Sample-Routine,Water,Surface Water,2001-09-11,13:50:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,recvd 9-18,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45707031,,,Phosphorus,Total,0.25,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00665,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",,USGS OF 92-146,,2001-09-21,,,Laboratory Reporting Level,0.06,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00101205,Sample-Routine,Water,Surface Water,2001-09-11,13:50:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,recvd 9-18,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45707032,,,Phosphorus,Dissolved,0.156,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,,2001-09-18,,,Laboratory Reporting Level,0.006,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00101205,Sample-Routine,Water,Surface Water,2001-09-11,13:50:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,recvd 9-18,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45707084,,,Nitrogen,Suspended,0.772,mg/l,,Accepted,,Actual,,,,,,,,,,,49570,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",,,,2001-11-20,,,Lower Reporting Limit,0.022,mg/l,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100976,Sample-Routine,Water,Surface Water,2001-07-18,13:50:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,Falling stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45697009,,,Phosphorus,Total,0.31,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00665,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",,USGS OF 92-146,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100976,Sample-Routine,Water,Surface Water,2001-07-18,13:50:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,Falling stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45697010,,,Phosphorus,Dissolved,0.156,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100976,Sample-Routine,Water,Surface Water,2001-07-18,13:50:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,Falling stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45697062,,,Nitrogen,Suspended,0.360,mg/l,,Accepted,,Actual,,,,,,,,,,,49570,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100557,Sample-Routine,Water,Surface Water,2001-03-19,15:25:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45672303,,,Phosphorus,Total,0.71,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00665,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",,USGS OF 92-146,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100557,Sample-Routine,Water,Surface Water,2001-03-19,15:25:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45672304,,,Phosphorus,Dissolved,0.128,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100557,Sample-Routine,Water,Surface Water,2001-03-19,15:25:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45672356,,,Nitrogen,Suspended,0.848,mg/l,,Accepted,,Actual,,,,,,,,,,,49570,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00200117,Sample-Routine,Water,Surface Water,2001-11-26,15:10:00,CST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45718120,,,Phosphorus,Total,0.23,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00665,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",,USGS OF 92-146,,,,,,,,,,NWIS
