Year,State,acres,crop
2019,LOUISIANA,570000.0,corn
2019,MINNESOTA,7800000.0,corn
2019,MISSISSIPPI,660000.0,corn
2019,MISSOURI,3200000.0,corn
2019,OHIO,2800000.0,corn
2019,SOUTH DAKOTA,4350000.0,corn
2019,TENNESSEE,970000.0,corn
2019,WISCONSIN,3800000.0,corn
2018,ARKANSAS,660000.0,corn
2018,ILLINOIS,11000000.0,corn
2018,INDIANA,5300000.0,corn
2018,IOWA,13200000.0,corn
2018,KENTUCKY,1330000.0,corn
2018,LOUISIANA,460000.0,corn
2018,MINNESOTA,7900000.0,corn
2018,MISSISSIPPI,480000.0,corn
2018,MISSOURI,3500000.0,corn
2018,OHIO,3500000.0,corn
2018,SOUTH DAKOTA,5300000.0,corn
2018,TENNESSEE,720000.0,corn
2018,WISCONSIN,3900000.0,corn
2017,ARKANSAS,620000.0,corn
2017,ILLINOIS,11200000.0,corn
2017,INDIANA,5350000.0,corn
2017,IOWA,13300000.0,corn
2017,KENTUCKY,1320000.0,corn
2017,LOUISIANA,500000.0,corn
2017,MINNESOTA,8050000.0,corn
2017,MISSISSIPPI,520000.0,corn
2017,MISSOURI,3400000.0,corn
2017,OHIO,3400000.0,corn
2017,SOUTH DAKOTA,5700000.0,corn
2017,TENNESSEE,750000.0,corn
2017,WISCONSIN,3900000.0,corn
2016,ARKANSAS,760000.0,corn
2016,ILLINOIS,11600000.0,corn
2016,INDIANA,5600000.0,corn
2016,IOWA,13900000.0,corn
2016,KENTUCKY,1500000.0,corn
2016,LOUISIANA,620000.0,corn
2016,MINNESOTA,8450000.0,corn
2016,MISSISSIPPI,750000.0,corn
2016,MISSOURI,3650000.0,corn
2016,OHIO,3550000.0,corn
2016,SOUTH DAKOTA,5600000.0,corn
2016,TENNESSEE,880000.0,corn
2016,WISCONSIN,4050000.0,corn
2015,ARKANSAS,460000.0,corn
2015,ILLINOIS,11700000.0,corn
2015,INDIANA,5650000.0,corn
2015,IOWA,13500000.0,corn
2015,KENTUCKY,1400000.0,corn
2015,LOUISIANA,400000.0,corn
2015,MINNESOTA,8100000.0,corn
2015,MISSISSIPPI,510000.0,corn
2015,MISSOURI,3250000.0,corn
2015,OHIO,3550000.0,corn
2015,SOUTH DAKOTA,5400000.0,corn
2015,TENNESSEE,780000.0,corn
2015,WISCONSIN,4000000.0,corn
2014,ARKANSAS,540000.0,corn
2014,ILLINOIS,11900000.0,corn
2014,INDIANA,5900000.0,corn
2014,IOWA,13700000.0,corn
2014,KENTUCKY,1520000.0,corn
2014,LOUISIANA,400000.0,corn
2014,MINNESOTA,8200000.0,corn
2014,MISSISSIPPI,510000.0,corn
2014,MISSOURI,3500000.0,corn
2014,OHIO,3700000.0,corn
2014,SOUTH DAKOTA,5800000.0,corn
2014,TENNESSEE,920000.0,corn
2014,WISCONSIN,4000000.0,corn
2013,ARKANSAS,880000.0,corn
2013,ILLINOIS,12000000.0,corn
2013,INDIANA,6000000.0,corn
2013,IOWA,13600000.0,corn
2013,KENTUCKY,1530000.0,corn
2013,LOUISIANA,680000.0,corn
2013,MINNESOTA,8600000.0,corn
2013,MISSISSIPPI,860000.0,corn
2013,MISSOURI,3350000.0,corn
2013,OHIO,3900000.0,corn
2013,SOUTH DAKOTA,6200000.0,corn
2013,TENNESSEE,890000.0,corn
2013,WISCONSIN,4100000.0,corn
2012,ARKANSAS,710000.0,corn
2012,ILLINOIS,12800000.0,corn
2012,INDIANA,6250000.0,corn
2012,IOWA,14200000.0,corn
2012,KENTUCKY,1650000.0,corn
2012,LOUISIANA,540000.0,corn
2012,MINNESOTA,8750000.0,corn
2012,MISSISSIPPI,820000.0,corn
2012,MISSOURI,3600000.0,corn
2012,OHIO,3900000.0,corn
2012,SOUTH DAKOTA,6150000.0,corn
2012,TENNESSEE,1040000.0,corn
2012,WISCONSIN,4350000.0,corn
2011,ARKANSAS,560000.0,corn
2011,ILLINOIS,12600000.0,corn
2011,INDIANA,5900000.0,corn
2011,IOWA,14100000.0,corn
2011,KENTUCKY,1380000.0,corn
2011,LOUISIANA,580000.0,corn
2011,MINNESOTA,8100000.0,corn
2011,MISSISSIPPI,810000.0,corn
2011,MISSOURI,3300000.0,corn
2011,OHIO,3400000.0,corn
2011,SOUTH DAKOTA,5200000.0,corn
2011,TENNESSEE,790000.0,corn
2011,WISCONSIN,4150000.0,corn
2010,ARKANSAS,390000.0,corn
2010,ILLINOIS,12600000.0,corn
2010,INDIANA,5900000.0,corn
2010,IOWA,13400000.0,corn
2010,KENTUCKY,1340000.0,corn
2010,LOUISIANA,510000.0,corn
2010,MINNESOTA,7700000.0,corn
2010,MISSISSIPPI,750000.0,corn
2010,MISSOURI,3150000.0,corn
2010,OHIO,3450000.0,corn
2010,SOUTH DAKOTA,4550000.0,corn
2010,TENNESSEE,710000.0,corn
2010,WISCONSIN,3900000.0,corn
2009,ARKANSAS,430000.0,corn
2009,ILLINOIS,12000000.0,corn
2009,INDIANA,5600000.0,corn
2009,IOWA,13600000.0,corn
2009,KENTUCKY,1220000.0,corn
2009,LOUISIANA,630000.0,corn
2009,MINNESOTA,7600000.0,corn
2009,MISSISSIPPI,730000.0,corn
2009,MISSOURI,3000000.0,corn
2009,OHIO,3350000.0,corn
2009,SOUTH DAKOTA,5000000.0,corn
2009,TENNESSEE,670000.0,corn
2009,WISCONSIN,3850000.0,corn
2008,ARKANSAS,440000.0,corn
2008,ILLINOIS,12100000.0,corn
2008,INDIANA,5700000.0,corn
2008,IOWA,13300000.0,corn
2008,KENTUCKY,1210000.0,corn
2008,LOUISIANA,520000.0,corn
2008,MINNESOTA,7700000.0,corn
2008,MISSISSIPPI,720000.0,corn
2008,MISSOURI,2800000.0,corn
2008,OHIO,3300000.0,corn
2008,SOUTH DAKOTA,4750000.0,corn
2008,TENNESSEE,690000.0,corn
2008,WISCONSIN,3800000.0,corn
2007,ARKANSAS,610000.0,corn
2007,ILLINOIS,13200000.0,corn
2007,INDIANA,6500000.0,corn
2007,IOWA,14200000.0,corn
2007,KENTUCKY,1440000.0,corn
2007,LOUISIANA,740000.0,corn
2007,MINNESOTA,8400000.0,corn
2007,MISSISSIPPI,930000.0,corn
2007,MISSOURI,3450000.0,corn
2007,OHIO,3850000.0,corn
2007,SOUTH DAKOTA,4950000.0,corn
2007,TENNESSEE,860000.0,corn
2007,WISCONSIN,4050000.0,corn
2006,ARKANSAS,190000.0,corn
2006,ILLINOIS,11300000.0,corn
2006,INDIANA,5500000.0,corn
2006,IOWA,12600000.0,corn
2006,KENTUCKY,1120000.0,corn
2006,LOUISIANA,300000.0,corn
2006,MINNESOTA,7300000.0,corn
2006,MISSISSIPPI,340000.0,corn
2006,MISSOURI,2700000.0,corn
2006,OHIO,3150000.0,corn
2006,SOUTH DAKOTA,4500000.0,corn
2006,TENNESSEE,550000.0,corn
2006,WISCONSIN,3650000.0,corn
2005,ARKANSAS,240000.0,corn
2005,ILLINOIS,12100000.0,corn
2005,INDIANA,5900000.0,corn
2005,IOWA,12800000.0,corn
2005,KENTUCKY,1250000.0,corn
2005,LOUISIANA,340000.0,corn
2005,MINNESOTA,7300000.0,corn
2005,MISSISSIPPI,380000.0,corn
2005,MISSOURI,3100000.0,corn
2005,OHIO,3450000.0,corn
2005,SOUTH DAKOTA,4450000.0,corn
2005,TENNESSEE,650000.0,corn
2005,WISCONSIN,3800000.0,corn
2004,ARKANSAS,320000.0,corn
2004,ILLINOIS,11750000.0,corn
2004,INDIANA,5700000.0,corn
2004,IOWA,12700000.0,corn
2004,KENTUCKY,1210000.0,corn
2004,LOUISIANA,420000.0,corn
2004,MINNESOTA,7500000.0,corn
2004,MISSISSIPPI,460000.0,corn
2004,MISSOURI,2950000.0,corn
2004,OHIO,3350000.0,corn
2004,SOUTH DAKOTA,4650000.0,corn
2004,TENNESSEE,680000.0,corn
2004,WISCONSIN,3600000.0,corn
2003,ARKANSAS,365000.0,corn
2003,ILLINOIS,11200000.0,corn
2003,INDIANA,5600000.0,corn
2003,IOWA,12300000.0,corn
2003,KENTUCKY,1170000.0,corn
2003,LOUISIANA,520000.0,corn
2003,MINNESOTA,7200000.0,corn
2003,MISSISSIPPI,550000.0,corn
2003,MISSOURI,2900000.0,corn
2003,OHIO,3300000.0,corn
2003,SOUTH DAKOTA,4400000.0,corn
2003,TENNESSEE,710000.0,corn
2003,WISCONSIN,3750000.0,corn
2002,ARKANSAS,265000.0,corn
2002,ILLINOIS,11100000.0,corn
2002,INDIANA,5400000.0,corn
2002,IOWA,12200000.0,corn
2002,KENTUCKY,1160000.0,corn
2002,LOUISIANA,580000.0,corn
2002,MINNESOTA,7200000.0,corn
2002,MISSISSIPPI,550000.0,corn
2002,MISSOURI,2800000.0,corn
2002,OHIO,3250000.0,corn
2002,SOUTH DAKOTA,4450000.0,corn
2002,TENNESSEE,690000.0,corn
2002,WISCONSIN,3650000.0,corn
2001,ARKANSAS,190000.0,corn
2001,ILLINOIS,11000000.0,corn
2001,INDIANA,5800000.0,corn
2001,IOWA,11700000.0,corn
2001,KENTUCKY,1200000.0,corn
2001,LOUISIANA,315000.0,corn
2001,MINNESOTA,6800000.0,corn
2001,MISSISSIPPI,400000.0,corn
2001,MISSOURI,2700000.0,corn
2001,OHIO,3400000.0,corn
2001,SOUTH DAKOTA,3800000.0,corn
2001,TENNESSEE,680000.0,corn
2001,WISCONSIN,3400000.0,corn
2024,ARKANSAS,3050000.0,soybeans
2024,ILLINOIS,10800000.0,soybeans
2024,INDIANA,5800000.0,soybeans
2024,IOWA,10050000.0,soybeans
2024,KENTUCKY,2050000.0,soybeans
2024,LOUISIANA,1100000.0,soybeans
2024,MINNESOTA,7400000.0,soybeans
2024,MISSISSIPPI,2300000.0,soybeans
2024,MISSOURI,5950000.0,soybeans
2024,OHIO,5100000.0,soybeans
2024,SOUTH DAKOTA,5450000.0,soybeans
2024,TENNESSEE,1820000.0,soybeans
2024,WISCONSIN,2180000.0,soybeans
2023,ARKANSAS,2980000.0,soybeans
2023,ILLINOIS,10350000.0,soybeans
2023,INDIANA,5500000.0,soybeans
2023,IOWA,9950000.0,soybeans
2023,KENTUCKY,1830000.0,soybeans
2023,LOUISIANA,1030000.0,soybeans
2023,MINNESOTA,7350000.0,soybeans
2023,MISSISSIPPI,2180000.0,soybeans
2023,MISSOURI,5600000.0,soybeans
2023,OHIO,4750000.0,soybeans
2023,SOUTH DAKOTA,5100000.0,soybeans
2023,TENNESSEE,1600000.0,soybeans
2023,WISCONSIN,2110000.0,soybeans
2022,ARKANSAS,3180000.0,soybeans
2022,ILLINOIS,10800000.0,soybeans
2022,INDIANA,5850000.0,soybeans
2022,IOWA,10100000.0,soybeans
2022,KENTUCKY,1950000.0,soybeans
2022,LOUISIANA,1260000.0,soybeans
2022,MINNESOTA,7450000.0,soybeans
2022,MISSISSIPPI,2310000.0,soybeans
2022,MISSOURI,6100000.0,soybeans
2022,OHIO,5100000.0,soybeans
2022,SOUTH DAKOTA,5100000.0,soybeans
2022,TENNESSEE,1650000.0,soybeans
2022,WISCONSIN,2160000.0,soybeans
2021,ARKANSAS,3040000.0,soybeans
2021,ILLINOIS,10600000.0,soybeans
2021,INDIANA,5650000.0,soybeans
2021,IOWA,10100000.0,soybeans
2021,KENTUCKY,1850000.0,soybeans
2021,LOUISIANA,1080000.0,soybeans
2021,MINNESOTA,7650000.0,soybeans
2021,MISSISSIPPI,2220000.0,soybeans
2021,MISSOURI,5700000.0,soybeans
2021,OHIO,4900000.0,soybeans
2021,SOUTH DAKOTA,5450000.0,soybeans
2021,TENNESSEE,1550000.0,soybeans
2021,WISCONSIN,2100000.0,soybeans
2020,ARKANSAS,2820000.0,soybeans
2020,ILLINOIS,10300000.0,soybeans
2020,INDIANA,5750000.0,soybeans
2020,IOWA,9450000.0,soybeans
2020,KENTUCKY,1850000.0,soybeans
2020,LOUISIANA,1050000.0,soybeans
2020,MINNESOTA,7450000.0,soybeans
2020,MISSISSIPPI,2090000.0,soybeans
2020,MISSOURI,5850000.0,soybeans
2020,OHIO,4950000.0,soybeans
2020,SOUTH DAKOTA,4950000.0,soybeans
2020,TENNESSEE,1650000.0,soybeans
2020,WISCONSIN,2020000.0,soybeans
2019,ARKANSAS,2650000.0,soybeans
2019,ILLINOIS,9950000.0,soybeans
2019,INDIANA,5400000.0,soybeans
2019,IOWA,9200000.0,soybeans
2019,KENTUCKY,1700000.0,soybeans
2019,LOUISIANA,890000.0,soybeans
2019,MINNESOTA,6850000.0,soybeans
2019,MISSISSIPPI,1660000.0,soybeans
2019,MISSOURI,5100000.0,soybeans
2019,OHIO,4300000.0,soybeans
2019,SOUTH DAKOTA,3500000.0,soybeans
2019,TENNESSEE,1400000.0,soybeans
2019,WISCONSIN,1750000.0,soybeans
2018,ARKANSAS,3270000.0,soybeans
2018,ILLINOIS,10800000.0,soybeans
2018,INDIANA,6000000.0,soybeans
2018,IOWA,9950000.0,soybeans
2018,KENTUCKY,1950000.0,soybeans
2018,LOUISIANA,1340000.0,soybeans
2018,MINNESOTA,7750000.0,soybeans
2018,MISSISSIPPI,2230000.0,soybeans
2018,MISSOURI,5850000.0,soybeans
2018,OHIO,5050000.0,soybeans
2018,SOUTH DAKOTA,5650000.0,soybeans
2018,TENNESSEE,1700000.0,soybeans
2018,WISCONSIN,2220000.0,soybeans
2017,ARKANSAS,3530000.0,soybeans
2017,ILLINOIS,10600000.0,soybeans
2017,INDIANA,5950000.0,soybeans
2017,IOWA,10000000.0,soybeans
2017,KENTUCKY,1950000.0,soybeans
2017,LOUISIANA,1270000.0,soybeans
2017,MINNESOTA,8150000.0,soybeans
2017,MISSISSIPPI,2190000.0,soybeans
2017,MISSOURI,5950000.0,soybeans
2017,OHIO,5100000.0,soybeans
2017,SOUTH DAKOTA,5650000.0,soybeans
2017,TENNESSEE,1690000.0,soybeans
2017,WISCONSIN,2150000.0,soybeans
2016,ARKANSAS,3130000.0,soybeans
2016,ILLINOIS,10100000.0,soybeans
2016,INDIANA,5650000.0,soybeans
2016,IOWA,9500000.0,soybeans
2016,KENTUCKY,1790000.0,soybeans
2016,LOUISIANA,1230000.0,soybeans
2016,MINNESOTA,7550000.0,soybeans
2016,MISSISSIPPI,2040000.0,soybeans
2016,MISSOURI,5600000.0,soybeans
2016,OHIO,4850000.0,soybeans
2016,SOUTH DAKOTA,5200000.0,soybeans
2016,TENNESSEE,1660000.0,soybeans
2016,WISCONSIN,1960000.0,soybeans
2015,ARKANSAS,3200000.0,soybeans
2015,ILLINOIS,9800000.0,soybeans
2015,INDIANA,5550000.0,soybeans
2015,IOWA,9850000.0,soybeans
2015,KENTUCKY,1840000.0,soybeans
2015,LOUISIANA,1430000.0,soybeans
2015,MINNESOTA,7600000.0,soybeans
2015,MISSISSIPPI,2300000.0,soybeans
2015,MISSOURI,4550000.0,soybeans
2015,OHIO,4750000.0,soybeans
2015,SOUTH DAKOTA,5150000.0,soybeans
2015,TENNESSEE,1750000.0,soybeans
2015,WISCONSIN,1880000.0,soybeans
2014,ARKANSAS,3230000.0,soybeans
2014,ILLINOIS,9800000.0,soybeans
2014,INDIANA,5450000.0,soybeans
2014,IOWA,9850000.0,soybeans
2014,KENTUCKY,1760000.0,soybeans
2014,LOUISIANA,1410000.0,soybeans
2014,MINNESOTA,7350000.0,soybeans
2014,MISSISSIPPI,2210000.0,soybeans
2014,MISSOURI,5650000.0,soybeans
2014,OHIO,4700000.0,soybeans
2014,SOUTH DAKOTA,5150000.0,soybeans
2014,TENNESSEE,1640000.0,soybeans
2014,WISCONSIN,1800000.0,soybeans
2013,ARKANSAS,3270000.0,soybeans
2013,ILLINOIS,9500000.0,soybeans
2013,INDIANA,5200000.0,soybeans
2013,IOWA,9300000.0,soybeans
2013,KENTUCKY,1670000.0,soybeans
2013,LOUISIANA,1130000.0,soybeans
2013,MINNESOTA,6700000.0,soybeans
2013,MISSISSIPPI,2010000.0,soybeans
2013,MISSOURI,5650000.0,soybeans
2013,OHIO,4500000.0,soybeans
2013,SOUTH DAKOTA,4600000.0,soybeans
2013,TENNESSEE,1580000.0,soybeans
2013,WISCONSIN,1580000.0,soybeans
2012,ARKANSAS,3200000.0,soybeans
2012,ILLINOIS,9050000.0,soybeans
2012,INDIANA,5150000.0,soybeans
2012,IOWA,9350000.0,soybeans
2012,KENTUCKY,1480000.0,soybeans
2012,LOUISIANA,1130000.0,soybeans
2012,MINNESOTA,7050000.0,soybeans
2012,MISSISSIPPI,1970000.0,soybeans
2012,MISSOURI,5400000.0,soybeans
2012,OHIO,4600000.0,soybeans
2012,SOUTH DAKOTA,4750000.0,soybeans
2012,TENNESSEE,1260000.0,soybeans
2012,WISCONSIN,1710000.0,soybeans
2011,ARKANSAS,3330000.0,soybeans
2011,ILLINOIS,8950000.0,soybeans
2011,INDIANA,5300000.0,soybeans
2011,IOWA,9350000.0,soybeans
2011,KENTUCKY,1490000.0,soybeans
2011,LOUISIANA,1020000.0,soybeans
2011,MINNESOTA,7100000.0,soybeans
2011,MISSISSIPPI,1830000.0,soybeans
2011,MISSOURI,5350000.0,soybeans
2011,OHIO,4550000.0,soybeans
2011,SOUTH DAKOTA,4100000.0,soybeans
2011,TENNESSEE,1290000.0,soybeans
2011,WISCONSIN,1620000.0,soybeans
2010,ARKANSAS,3190000.0,soybeans
2010,ILLINOIS,9100000.0,soybeans
2010,INDIANA,5350000.0,soybeans
2010,IOWA,9800000.0,soybeans
2010,KENTUCKY,1400000.0,soybeans
2010,LOUISIANA,1030000.0,soybeans
2010,MINNESOTA,7400000.0,soybeans
2010,MISSISSIPPI,2000000.0,soybeans
2010,MISSOURI,5150000.0,soybeans
2010,OHIO,4600000.0,soybeans
2010,SOUTH DAKOTA,4200000.0,soybeans
2010,TENNESSEE,1450000.0,soybeans
2010,WISCONSIN,1640000.0,soybeans
2009,ARKANSAS,3420000.0,soybeans
2009,ILLINOIS,9400000.0,soybeans
2009,INDIANA,5450000.0,soybeans
2009,IOWA,9600000.0,soybeans
2009,KENTUCKY,1430000.0,soybeans
2009,LOUISIANA,1020000.0,soybeans
2009,MINNESOTA,7200000.0,soybeans
2009,MISSISSIPPI,2160000.0,soybeans
2009,MISSOURI,5350000.0,soybeans
2009,OHIO,4550000.0,soybeans
2009,SOUTH DAKOTA,4250000.0,soybeans
2009,TENNESSEE,1570000.0,soybeans
2009,WISCONSIN,1630000.0,soybeans
2008,ARKANSAS,3300000.0,soybeans
2008,ILLINOIS,9200000.0,soybeans
2008,INDIANA,5450000.0,soybeans
2008,IOWA,9750000.0,soybeans
2008,KENTUCKY,1390000.0,soybeans
2008,LOUISIANA,1050000.0,soybeans
2008,MINNESOTA,7050000.0,soybeans
2008,MISSISSIPPI,2000000.0,soybeans
2008,MISSOURI,5200000.0,soybeans
2008,OHIO,4500000.0,soybeans
2008,SOUTH DAKOTA,4100000.0,soybeans
2008,TENNESSEE,1490000.0,soybeans
2008,WISCONSIN,1610000.0,soybeans
2007,ARKANSAS,2850000.0,soybeans
2007,ILLINOIS,8300000.0,soybeans
2007,INDIANA,4800000.0,soybeans
2007,IOWA,8650000.0,soybeans
2007,KENTUCKY,1120000.0,soybeans
2007,LOUISIANA,615000.0,soybeans
2007,MINNESOTA,6350000.0,soybeans
2007,MISSISSIPPI,1460000.0,soybeans
2007,MISSOURI,4700000.0,soybeans
2007,OHIO,4250000.0,soybeans
2007,SOUTH DAKOTA,3250000.0,soybeans
2007,TENNESSEE,1080000.0,soybeans
2007,WISCONSIN,1400000.0,soybeans
2006,ARKANSAS,3110000.0,soybeans
2006,ILLINOIS,10100000.0,soybeans
2006,INDIANA,5700000.0,soybeans
2006,IOWA,10150000.0,soybeans
2006,KENTUCKY,1380000.0,soybeans
2006,LOUISIANA,870000.0,soybeans
2006,MINNESOTA,7350000.0,soybeans
2006,MISSISSIPPI,1670000.0,soybeans
2006,MISSOURI,5150000.0,soybeans
2006,OHIO,4650000.0,soybeans
2006,SOUTH DAKOTA,3950000.0,soybeans
2006,TENNESSEE,1160000.0,soybeans
2006,WISCONSIN,1650000.0,soybeans
2005,ARKANSAS,3030000.0,soybeans
2005,ILLINOIS,9500000.0,soybeans
2005,INDIANA,5400000.0,soybeans
2005,IOWA,10050000.0,soybeans
2005,KENTUCKY,1250000.0,soybeans
2005,LOUISIANA,880000.0,soybeans
2005,MINNESOTA,6900000.0,soybeans
2005,MISSISSIPPI,1610000.0,soybeans
2005,MISSOURI,4950000.0,soybeans
2005,OHIO,4500000.0,soybeans
2005,SOUTH DAKOTA,3900000.0,soybeans
2005,TENNESSEE,1130000.0,soybeans
2005,WISCONSIN,1610000.0,soybeans
2004,ARKANSAS,3200000.0,soybeans
2004,ILLINOIS,9950000.0,soybeans
2004,INDIANA,5550000.0,soybeans
2004,IOWA,10200000.0,soybeans
2004,KENTUCKY,1310000.0,soybeans
2004,LOUISIANA,1100000.0,soybeans
2004,MINNESOTA,7300000.0,soybeans
2004,MISSISSIPPI,1670000.0,soybeans
2004,MISSOURI,5000000.0,soybeans
2004,OHIO,4450000.0,soybeans
2004,SOUTH DAKOTA,4150000.0,soybeans
2004,TENNESSEE,1210000.0,soybeans
2004,WISCONSIN,1600000.0,soybeans
2003,ARKANSAS,2920000.0,soybeans
2003,ILLINOIS,10300000.0,soybeans
2003,INDIANA,5450000.0,soybeans
2003,IOWA,10600000.0,soybeans
2003,KENTUCKY,1250000.0,soybeans
2003,LOUISIANA,760000.0,soybeans
2003,MINNESOTA,7500000.0,soybeans
2003,MISSISSIPPI,1440000.0,soybeans
2003,MISSOURI,5000000.0,soybeans
2003,OHIO,4300000.0,soybeans
2003,SOUTH DAKOTA,4250000.0,soybeans
2003,TENNESSEE,1150000.0,soybeans
2003,WISCONSIN,1720000.0,soybeans
2002,ARKANSAS,2950000.0,soybeans
2002,ILLINOIS,10600000.0,soybeans
2002,INDIANA,5800000.0,soybeans
2002,IOWA,10450000.0,soybeans
2002,KENTUCKY,1310000.0,soybeans
2002,LOUISIANA,800000.0,soybeans
2002,MINNESOTA,7200000.0,soybeans
2002,MISSISSIPPI,1440000.0,soybeans
2002,MISSOURI,5050000.0,soybeans
2002,OHIO,4750000.0,soybeans
2002,SOUTH DAKOTA,4250000.0,soybeans
2002,TENNESSEE,1160000.0,soybeans
2002,WISCONSIN,1540000.0,soybeans
2001,ARKANSAS,2900000.0,soybeans
2001,ILLINOIS,10700000.0,soybeans
2001,INDIANA,5600000.0,soybeans
2001,IOWA,11000000.0,soybeans
2001,KENTUCKY,1240000.0,soybeans
2001,LOUISIANA,640000.0,soybeans
2001,MINNESOTA,7300000.0,soybeans
2001,MISSISSIPPI,1160000.0,soybeans
2001,MISSOURI,4950000.0,soybeans
2001,OHIO,4600000.0,soybeans
2001,SOUTH DAKOTA,4500000.0,soybeans
2001,TENNESSEE,1070000.0,soybeans
2001,WISCONSIN,1600000.0,soybeans
